# {"t_start": 1554708228.502428, "env_id": "Hopper-v2"} 
r,l,t
842.91232,242,177.453837
1084.310311,323,177.920781
1400.625485,422,178.329954
2033.351337,610,179.076529
2207.929519,660,179.728015
933.963805,283,180.145362
688.142668,206,180.36042
1359.743002,408,180.785855
1201.66405,370,181.303983
945.403215,283,181.587492
938.819248,288,181.882903
1719.335582,521,182.577405
628.350193,195,182.781715
2226.902848,662,183.596216
1735.660487,519,184.106366
775.087637,234,184.344551
1590.808896,478,184.979323
1446.978806,445,185.426831
1282.109324,385,185.976432
710.565793,214,186.196748
671.322404,204,186.403857
1259.618058,378,186.782477
929.251762,286,187.22313
1299.824325,389,187.616375
1238.038841,367,187.97267
696.443098,204,188.311029
711.30694,218,188.516848
1520.687298,456,188.964717
1348.611941,404,189.48441
2437.940321,766,190.209604
1598.287008,473,190.822616
3197.248879,991,191.966944
1905.028823,582,192.542917
1196.195272,380,193.097621
1442.675821,429,193.523791
1240.744273,361,194.065097
2775.164229,840,194.876588
709.499598,210,195.234172
3046.231056,931,196.160258
2322.917347,713,196.99192
2294.382785,673,197.804903
1448.290174,454,198.260246
802.839793,236,198.490171
1286.031758,374,199.012279
1489.178567,454,199.442567
1489.839824,434,200.019045
3313.890687,971,201.13303
2045.028846,588,201.717938
3217.517443,1000,202.871487
1977.15973,617,203.653426
1264.972803,371,204.032518
2911.320176,863,205.069554
697.869188,208,205.280588
2358.967216,699,206.124834
821.273605,241,206.37627
657.567887,205,206.590356
1206.654318,357,207.106133
786.923441,230,207.342613
1379.885112,407,207.759666
1274.138279,374,208.302485
2037.210283,611,208.939946
1112.508831,331,209.419696
929.294859,269,209.694396
1664.671471,489,210.181515
2013.15663,611,210.93138
1158.403849,332,211.247888
989.357718,287,211.671446
1520.752787,447,212.119711
1492.547887,437,212.569206
1781.062454,570,213.255449
1964.878527,585,214.000921
968.141498,284,214.283357
1807.880446,551,214.823923
1441.663213,423,215.397969
1276.335608,376,215.765692
2371.305728,694,216.605432
1218.720587,359,216.975317
1730.970245,518,217.774027
1228.504533,355,218.138029
889.622494,260,218.405544
2075.816361,637,219.192827
1453.435544,420,219.611519
708.706803,210,219.967156
1264.998796,379,220.349129
2042.60007,593,220.926967
1556.008359,462,221.517743
1525.202628,464,221.964069
943.361937,286,222.403645
1482.05335,443,222.852151
1273.144295,377,223.236494
1635.757919,483,223.886985
860.632203,251,224.137433
1017.085688,310,224.450015
1225.359435,367,224.958718
2351.644065,705,225.808088
1215.39063,370,226.182787
1380.350626,406,226.6002
975.817087,287,227.033201
1810.881665,538,227.590195
1781.13292,538,228.283368
1480.245682,430,228.713315
3314.647359,1000,229.82108
1146.632567,352,230.180343
2277.057612,673,231.006907
1792.75635,534,231.681292
974.391198,297,231.96951
906.172998,275,232.214104
1250.552403,372,232.566031
1451.600494,425,233.111251
1676.579383,519,233.643234
1251.123439,362,234.151407
1810.624647,529,234.677609
1722.022475,514,235.332386
2281.863241,666,235.987968
1161.519011,354,236.48027
593.68324,180,236.660216
935.864689,277,236.940861
750.583839,227,237.167029
65.396111,39,237.206832
3020.11192,1000,238.320311
1789.361792,544,238.973478
3185.277411,1000,240.12742
2770.418334,829,241.097324
1450.84065,454,241.517954
956.224653,291,241.786591
1681.982686,611,242.542289
802.133446,241,242.779187
